"Settings","Ρυθμίσεις"
"e-satisfaction Settings","Ρυθμίσεις e-satisfaction"
"You must input an Application ID before you can use the extension","Πρέπει να εισάγεις Application ID πριν μπορέσεις να χρησιμοποιήσεις την επέκταση"
"Automatic Questionnaires","Αυτόματα Ερωτηματολόγια"
"e-satisfaction platform sends automatic questionnaire. If you want to send them manually from the order status changes you must first change the settings in the e-Satisfaction platform.","Η πλατφόρμα e-satisfaction στέλνει αυτόματα ερωτηματολόγια. Εάν θέλεις τα ερωματηματολόγια να στέλνονται όταν αλλάζει η κατάσταση της παραγγελίας πρέπει πρώτα να αλλάξεις τις ρυθμίσεις στην πλατφόρμα του e-satisfaction"
"You must input an Authentication Token before you can use the extension","Πρέπει να εισάγεις Authentication Token πριν μπορέσεις να χρησιμοποιήσεις την επέκταση"
"Checkout Questionnaire","Ερωτηματολόγιο Ολοκλήρωσης Αγοράς"
"Questionnaire","Ερωτηματολόγιο"
"On your e-satisfaction.com questionnaire integration settings, set the integration type to embedded and the position to #esat-checkout-questionnaire-container","Στις ρυθμίσεις του ερωτηματολογίου στο e-satisfaction.com στις ρυθμίσεις ενσωμάτωσης, ορίστε το τύπο ενοποίησης σε embedded και την θέση σε #esat-checkout-questionnaire-container"
"After Delivery Questionnaire","Ερωτηματολόγιο μετά την παράδωση"
"Days after to send questionnaire","Αποστολή ερωτηματολογίου μετά από μέρες"
"Order status(es) to send questionnaire","Κατάσταση(εις) παραγγελίας για αποστολή ερωτηματολογίου"
"Condition to determine when it’s after delivery","Προϋπόθεση για καθορισμό ότι είναι μετά απο παράδωση"
"Order status(es) to cancel questionnaire","Κατάσταση(εις) παραγγελίας για ακύρωση ερωτηματολογίου"
"Store Pick Up Questionnaire","Ερωτηματολόγιο παραλαβής από το κατάστημα" 
"Condition to determine when it’s store pickup","Προϋπόθεση για καθορισμό ότι είναι παραλαβή από το κατάστημα"
"jQuery Installed?","Είναι η jQuery εγκατεστημένη?"
"Select yes if jquery is installed in your magento theme installation","Επιλέξτε ναι εάν το magento theme σας έχει την βιβλιοθήκη jQuery εγκατεστημένη"
